Campaign_Name,Clicks,Payout
Zalora HK - CPS,1,0.0
Zigly [CPS] IN,1,0.0
ZipRecruiter US,1,0.0
ZipRecruiter US,1,0.0
ZipRecruiter US,1,0.0
Aliexpress.com CPS - Worldwide,0,92988.74
Aliexpress.com CPS - Worldwide,0,84206.26
Ajio [CPS] IN,0,14995.0
Fiverr Many GEO's,0,13701.13
Adobe Many GEOs,0,2493.61
ExpressVPN,0,2066.7
Kerastase [CPS] IN,0,1813.0
Magrabi AE SA Offline codes,0,791.37
Wakefit.co CPS - India,0,720.16
Truemeds [CPS] IN,0,637.5
Etihad [CPS] WW,0,576.28
Alamy WW,0,543.3
Omio.com CPS - Worldwide,0,390.2
Admitad Lite,0,360.1
OnePlus [CPS] Many Geos,0,294.29
Depositphotos [CPS] WW,0,232.5
Udacity Affiliate Program,0,160.0
Admitad Lite,0,131.11
Lazada.sg CPS - Singapore,0,120.05
Admitad Lite,0,113.15
Admitad Lite,0,105.07
Admitad Lite,0,89.8
Zepto Coupon redemption [CPS] IN,0,84.0
Envato Placeit,0,21.48
Admitad Lite,0,10.78
DigitalOcean,0,2.1
DigitalOcean,0,2.1
DigitalOcean,0,2.1
DigitalOcean,0,2.1
DigitalOcean,0,1.95
BigRock.in,0,0.18
DigitalOcean,0,0.13
Bellelily,0,0.0
Bellelily,0,0.0
Bellelily,0,0.0
Exness Global (RETIRED),0,0.0
Exness Global (RETIRED),0,0.0
Lazada.th CPS - Thailand,0,0.0
McAfee Consumer,0,0.0
McAfee Consumer,0,0.0
McAfee Consumer,0,0.0
McAfee Consumer,0,0.0
Parallels | Mac & Windows Virtualization,0,0.0
Parallels | Mac & Windows Virtualization,0,0.0
StubHub NORAM,0,0.0
