Campaign_Name,Time,Payout,Clicks,Partner
0mecheap,G-July'2023,12.2,524,Impact_FS
0mecheap,C-March'2023,71.15,2209,Impact_Hyzzo
0mecheap,G-July'2023,12.2,524,Impact_Hyzzo
0mecheap,A-January'2023,64.88,1595,Impact_ZO
0mecheap,B-February'2023,35.85,1230,Impact_ZO
0mecheap,C-March'2023,30.11,1309,Impact_ZO
0mecheap,D-April'2023,97.12,1206,Impact_ZO
0mecheap,E-May'2023,58.23,1236,Impact_ZO
0mecheap,F-June'2023,71.76,1041,Impact_ZO
99designs WW,M-January'2024,0,521,Admitad_FS
Abebooks Global - CPS,A-January'2023,31.998,1182,Pokket_FS
Abebooks Global - CPS,B-February'2023,23.1328,539,Pokket_XO
Abebooks Global - CPS,B-February'2023,23.1328,539,Pokket_XO
Abebooks Global - CPS,D-April'2023,10.808,521,Pokket_XO
Abebooks Global - CPS,D-April'2023,10.808,521,Pokket_XO
ADIDAS,E-May'2023,0,12622,Optimize Media
ADIDAS,L-December'2023,0,2847,Optimize Media
ADIDAS,M-January'2024,0,12622,Optimize Media
Admitad Lite,E-May'2023,0,7780,Admitad_FS
Adobe Many GEOs,C-March'2023,0,103994,Partnerize_Hyzzo
Air Asia [CPS] IN,B-February'2023,0,641,Admitad_FS
AirAsia Travel,M-January'2024,25.84725,1274,Partnerize_Hyzzo
AirAsia Travel,N-February'2024,0,593,Partnerize_Hyzzo
Ajio,E-May'2023,0,1097,Optimize Media
Ajio,L-December'2023,0,1513,Optimize Media
Ajio,M-January'2024,0,1097,Optimize Media
Alamy WW,A-January'2023,95.19,2462,Admitad_FS
Alamy WW,C-March'2023,96.09,2138,Admitad_FS
Alamy WW,H-August'2023,0,1524,Admitad_FS
Alamy WW,F-June'2023,0,1733,Admitad_XO
Alamy WW,G-July'2023,0,574,Admitad_XO
Alamy WW,H-August'2023,0,529,Admitad_XO
Alamy WW,M-January'2024,91.77,593,Admitad_XO
Aliexpress.com CPS - Worldwide,M-January'2024,0,29880,Vcom_new
American Eagle Many GEOs,M-January'2024,0,693,Admitad_FS
Ancestry US CA UK AU DE,H-August'2023,0,1305,Admitad_FS
Ancestry US CA UK AU DE,J-October'2023,0,1790,Admitad_XO
Aqualens [CPS] IN,L-December'2023,0,1545,Admitad_FS
AT&T Mobility CPS(Paused),A-January'2023,0,1542,Pokket_FS
AT&T Mobility CPS(Paused),A-January'2023,0,640,Pokket_XO
AT&T Mobility CPS(Paused),A-January'2023,0,640,Pokket_XO
AT&T Mobility CPS(Paused),B-February'2023,0,1125,Pokket_XO
AT&T Mobility CPS(Paused),B-February'2023,0,1125,Pokket_XO
Atlas VPN,E-May'2023,42.91,1142,Impact_FS
Atlas VPN,F-June'2023,93.01,2014,Impact_FS
Atlas VPN,B-February'2023,49.48,1049,Impact_Hyzzo
Atlas VPN,E-May'2023,42.91,1142,Impact_Hyzzo
Atlas VPN,F-June'2023,93.01,2014,Impact_Hyzzo
Atlas VPN,B-February'2023,49.48,1049,Impact_XO
Atlas VPN,C-March'2023,72.4,518,Impact_XO
Atlas VPN,E-May'2023,42.91,1142,Impact_XO
Atlas VPN,F-June'2023,93.01,2014,Impact_XO
Banggood,F-June'2023,0,1062,Impact_FS
Banggood,C-March'2023,0,3204,Impact_Hyzzo
Banggood,F-June'2023,0,1062,Impact_Hyzzo
Banggood,F-June'2023,0,1062,Impact_XO
Banggood WW,A-January'2023,0,2070,Admitad_FS
Banggood WW,B-February'2023,0,2733,Admitad_FS
Banggood WW,D-April'2023,0,3052,Admitad_FS
Banggood WW,E-May'2023,0,3198,Admitad_XO
Bath and Body Works [CPS] IN,L-December'2023,0,586,Admitad_XO
Bath and Body Works [CPS] IN,M-January'2024,0,790,Admitad_XO
Benetton.com CPS - India,E-May'2023,0,798,Vcom_old
Benetton.com CPS - India,F-June'2023,0,1463,Vcom_old
Best Buy U.S,B-February'2023,0,1781,Imapct_ZO
Best Buy U.S,B-February'2023,0,3307,Impact_ZO
Best Buy U.S,C-March'2023,0,3195,Impact_ZO
Best Buy U.S,D-April'2023,0,3252,Impact_ZO
Best Buy U.S,E-May'2023,0,2934,Impact_ZO
Best Buy U.S,F-June'2023,0,2597,Impact_ZO
BigCommerce Many GEOs,A-January'2023,0,648,Admitad_FS
Blibli.com CPS - Indonesia,I-September'2023,0,664,Vcom_new
Boost Mobile - CPA,F-June'2023,0,536,Pokket_XO
Boost Mobile - CPA,F-June'2023,0,536,Pokket_XO
Calvin Klein HK,A-January'2023,0,1494,Impact_ZO
Calvin Klein HK,B-February'2023,0,1096,Impact_ZO
Calvin Klein HK,C-March'2023,0,1118,Impact_ZO
Calvin Klein HK,D-April'2023,0,1172,Impact_ZO
Calvin Klein HK,E-May'2023,0,1029,Impact_ZO
Calvin Klein HK,F-June'2023,0,885,Impact_ZO
CASETiFY,D-April'2023,42.02,890,Impact_FS
CASETiFY,E-May'2023,55.97,876,Impact_FS
CASETiFY,F-June'2023,33.4,841,Impact_FS
CASETiFY,D-April'2023,42.02,890,Impact_Hyzzo
CASETiFY,E-May'2023,55.97,876,Impact_Hyzzo
CASETiFY,F-June'2023,33.4,841,Impact_Hyzzo
CASETiFY,C-March'2023,20.33,573,Impact_XO
CASETiFY,D-April'2023,42.02,890,Impact_XO
CASETiFY,E-May'2023,55.97,876,Impact_XO
CASETiFY,F-June'2023,33.4,841,Impact_XO
CheapOair (Paused),C-March'2023,33.454,2430,Pokket_FS
CheapOair (Paused),D-April'2023,33.454,2430,Pokket_FS
Cottonon.com CPS -Worldwide,D-April'2023,0,3990,Vcom_old
Cottonon.com CPS -Worldwide,E-May'2023,0,3350,Vcom_old
CreditKarma (Paused),B-February'2023,0,1511,Pokket_FS
CreditKarma (Paused),C-March'2023,0,2601,Pokket_FS
CreditKarma (Paused),D-April'2023,0,2601,Pokket_FS
CreditKarma (Paused),E-May'2023,0,1021,Pokket_FS
CreditKarma (Paused),F-June'2023,0,882,Pokket_FS
CreditKarma (Paused),B-February'2023,0,2500,Pokket_XO
CreditKarma (Paused),B-February'2023,0,2500,Pokket_XO
CreditKarma (Paused),C-March'2023,0,5256,Pokket_XO
CreditKarma (Paused),C-March'2023,0,5256,Pokket_XO
CreditKarma (Paused),D-April'2023,12,6229,Pokket_XO
CreditKarma (Paused),D-April'2023,12,6229,Pokket_XO
CreditKarma (Paused),E-May'2023,12,4223,Pokket_XO
CreditKarma (Paused),E-May'2023,12,4223,Pokket_XO
CreditKarma (Paused),F-June'2023,34,3973,Pokket_XO
CreditKarma (Paused),F-June'2023,34,3973,Pokket_XO
CreditKarma (Paused),G-July'2023,6,972,Pokket_XO
CreditKarma (Paused),G-July'2023,6,972,Pokket_XO
CreditKarma (Paused),H-August'2023,0,768,Pokket_XO
CreditKarma (Paused),H-August'2023,0,768,Pokket_XO
CreditKarma (Paused),I-September'2023,0,627,Pokket_XO
CreditKarma (Paused),I-September'2023,0,627,Pokket_XO
CreditKarma (Paused),J-October'2023,0,567,Pokket_XO
CreditKarma (Paused),J-October'2023,0,567,Pokket_XO
CreditKarma (Paused),L-December'2023,0,1043,Pokket_XO
CreditKarma (Paused),L-December'2023,0,1043,Pokket_XO
CreditKarma (Paused),M-January'2024,0,2677,Pokket_XO
CreditKarma (Paused),M-January'2024,0,2677,Pokket_XO
CreditKarma (Paused),N-February'2024,0,1621,Pokket_XO
CreditKarma (Paused),N-February'2024,0,1621,Pokket_XO
Croma [CPS] IN,A-January'2023,98.97,8297,Admitad_FS
Croma [CPS] IN,J-October'2023,0,589,Admitad_FS
Croma [CPS] IN,K-November'2023,0,3560,Admitad_FS
Croma [CPS] IN,L-December'2023,0,9040,Admitad_FS
Croma.com CPS - India,M-January'2024,0,738,Vcom_new
DataCamp,A-January'2023,77.2,1763,Impact_ZO
DataCamp,C-March'2023,99.23,1539,Impact_ZO
DataCamp,E-May'2023,29.8,1152,Impact_ZO
DataCamp,F-June'2023,51.6,792,Impact_ZO
Depositphotos [CPS] WW,B-February'2023,0,749,Admitad_FS
Depositphotos [CPS] WW,E-May'2023,0,561,Admitad_FS
Depositphotos [CPS] WW,M-January'2024,0,627,Admitad_XO
DHgate,A-January'2023,88.64,1378,Impact_FS
DHgate,N-February'2024,27.62,722,Impact_FS
DHgate,A-January'2023,88.64,1378,Impact_Hyzzo
DHgate,N-February'2024,27.62,724,Impact_Hyzzo
DHgate,K-November'2023,37.99,1870,Impact_ZO
Dhgate 2 - CPS,C-March'2023,76.2705,684,Pokket_FS
Dhgate 2 - CPS,D-April'2023,76.2705,684,Pokket_FS
Dhgate 2 - CPS,E-May'2023,82.11,635,Pokket_FS
Dhgate 2 - CPS,F-June'2023,56.1255,600,Pokket_FS
Dhgate 2 - CPS,C-March'2023,46.5035,705,Pokket_XO
Dhgate 2 - CPS,C-March'2023,46.5035,705,Pokket_XO
DigitalOcean,C-March'2023,24.78,1331,Impact_Hyzzo
EaseUS [CPS] WW,B-February'2023,0,588,Admitad_FS
EaseUS [CPS] WW,C-March'2023,0,793,Admitad_FS
EaseUS [CPS] WW,D-April'2023,0,825,Admitad_FS
EaseUS [CPS] WW,E-May'2023,0,881,Admitad_FS
EaseUS [CPS] WW,F-June'2023,0,665,Admitad_XO
EaseUS [CPS] WW,M-January'2024,0,859,Admitad_XO
Envato Elements,B-February'2023,0,1144,Imapct_ZO
Envato Elements,A-January'2023,0,1613,Impact_FS
Envato Elements,G-July'2023,0,1356,Impact_FS
Envato Elements,H-August'2023,0,1367,Impact_FS
Envato Elements,I-September'2023,0,1172,Impact_FS
Envato Elements,J-October'2023,0,1112,Impact_FS
Envato Elements,K-November'2023,0,677,Impact_FS
Envato Elements,L-December'2023,0,860,Impact_FS
Envato Elements,A-January'2023,0,1613,Impact_Hyzzo
Envato Elements,C-March'2023,0,8242,Impact_Hyzzo
Envato Elements,G-July'2023,0,1356,Impact_Hyzzo
Envato Elements,H-August'2023,0,1367,Impact_Hyzzo
Envato Elements,I-September'2023,0,1172,Impact_Hyzzo
Envato Elements,J-October'2023,0,1112,Impact_Hyzzo
Envato Elements,K-November'2023,0,677,Impact_Hyzzo
Envato Elements,L-December'2023,0,860,Impact_Hyzzo
Envato Placeit,C-March'2023,20,1720,Impact_Hyzzo
Envato Placeit,E-May'2023,70,663,Impact_ZO
Envato Placeit,F-June'2023,60,602,Impact_ZO
Etihad.com CPS - Worldwide,M-January'2024,0,661,Vcom_new
Exness Global (RETIRED),C-March'2023,0,868,Partnerize_Hyzzo
Exness Global (RETIRED),D-April'2023,0,1497,Partnerize_Hyzzo
Exness Global (RETIRED),F-June'2023,0,2763,Partnerize_Hyzzo
Flipkart,K-November'2023,22.5,798,Optimize Media
Flipkart [CPS] IN,J-October'2023,0,64524,Admitad_FS
FlowerAura [CPS] IN,B-February'2023,0,500,Admitad_FS
Fossil [CPS] IN,G-July'2023,0,1341,Admitad_FS
Fossil [CPS] IN,E-May'2023,0,608,Admitad_XO
GAP AE SA KW Offline codes & Links,M-January'2024,0,1451,Admitad_XO
GoindiGo.in CPA - India,G-July'2023,0,2232,Vcom_new
GoindiGo.in CPA - India,H-August'2023,0,771,Vcom_new
Goto.com Utility CPL - United States,D-April'2023,0,966,Vcom_old
Goto.com Utility CPL - United States,E-May'2023,0,726,Vcom_old
H&M Many GEOs,L-December'2023,0,7624,Admitad_FS
H&M Many GEOs,L-December'2023,0,5742,Admitad_XO
H&M Many GEOs,M-January'2024,0,56813,Admitad_XO
HappyFares [CPS] IN,A-January'2023,0,570,Admitad_FS
HappyFares [CPS] IN,C-March'2023,0,575,Admitad_FS
HappyFares [CPS] IN,D-April'2023,0,577,Admitad_FS
HappyFares [CPS] IN,E-May'2023,0,564,Admitad_FS
HappyFares [CPS] IN,G-July'2023,0,504,Admitad_FS
Insider [CPS] IN,A-January'2023,0,7017,Admitad_FS
Insider [CPS] IN,B-February'2023,0,4545,Admitad_FS
Insider [CPS] IN,C-March'2023,0,5151,Admitad_FS
Insider [CPS] IN,D-April'2023,0,4340,Admitad_FS
Insider [CPS] IN,E-May'2023,0,3056,Admitad_FS
InVideo,E-May'2023,13.13,865,Impact_FS
InVideo,F-June'2023,41.25,923,Impact_FS
InVideo,C-March'2023,90.88,3325,Impact_Hyzzo
InVideo,E-May'2023,13.13,865,Impact_Hyzzo
InVideo,F-June'2023,41.25,923,Impact_Hyzzo
InVideo,E-May'2023,13.13,865,Impact_XO
InVideo,F-June'2023,41.25,923,Impact_XO
InVideo,B-February'2023,15,630,Impact_ZO
InVideo,C-March'2023,29.75,1174,Impact_ZO
InVideo,D-April'2023,30,1383,Impact_ZO
InVideo WW,A-January'2023,0,1524,Admitad_FS
Jiomart [CPS] IN,I-September'2023,15.54,834,Admitad_XO
Jiomart [CPS] IN,J-October'2023,88.73,690,Admitad_XO
Jiomart [CPS] IN,L-December'2023,0,626,Admitad_XO
Jomashop Global - CPS (Paused),A-January'2023,0,887,Pokket_FS
Kaspersky Many GEOs,N-February'2024,58.13,930,Admitad_FS
Kiwi.com CPS - Worldwide,K-November'2023,0,564,Vcom_new
Kiwi.com CPS - Worldwide,L-December'2023,0,2091,Vcom_new
Kiwi.com CPS - Worldwide,M-January'2024,0,5215,Vcom_new
KKday - CPS,B-February'2023,49.9907,1304,Pokket_XO
KKday - CPS,B-February'2023,49.9907,1304,Pokket_XO
KKday - CPS,D-April'2023,38.0834,1201,Pokket_XO
KKday - CPS,D-April'2023,38.0834,1201,Pokket_XO
KKday - CPS,E-May'2023,78.8661,1764,Pokket_XO
KKday - CPS,E-May'2023,78.8661,1764,Pokket_XO
KKday - CPS,F-June'2023,85.413,1786,Pokket_XO
KKday - CPS,F-June'2023,85.413,1786,Pokket_XO
Klook - CPS,A-January'2023,26.2622,963,Pokket_XO
Klook - CPS,A-January'2023,26.2622,963,Pokket_XO
Klook - CPS,G-July'2023,60.4913,829,Pokket_XO
Klook - CPS,G-July'2023,60.4913,829,Pokket_XO
Klook - CPS,H-August'2023,29.3923,690,Pokket_XO
Klook - CPS,H-August'2023,29.3923,690,Pokket_XO
Klook - CPS,I-September'2023,73.8542,552,Pokket_XO
Klook - CPS,I-September'2023,73.8542,552,Pokket_XO
Klook - CPS,K-November'2023,12.8144,531,Pokket_XO
Klook - CPS,K-November'2023,12.8144,531,Pokket_XO
Lenovo India,A-January'2023,0,1564,Impact_FS
Lenovo India,N-February'2024,0,1781,Impact_FS
Lenovo India,A-January'2023,0,1564,Impact_Hyzzo
Lenovo India,C-March'2023,0,4169,Impact_Hyzzo
Lenovo India,N-February'2024,0,1785,Impact_Hyzzo
Lenovo India,A-January'2023,0,957,Impact_ZO
Lenovo India,B-February'2023,5.89,751,Impact_ZO
Lenovo India,E-May'2023,0,853,Impact_ZO
LightintheBox.com CPS - Worldwide,G-July'2023,0,579,Vcom_new
MakeMyTrip.com Bus CPS - India,G-July'2023,0,676,Vcom_new
MakeMyTrip.com Bus CPS - India,D-April'2023,0,722,Vcom_old
Makemytrip.com Domestic Hotels CPS - India,L-December'2023,0,797,Vcom_new
