Campaign_Name,Clicks,Payout
0me.com,68,2.4
0me.com,9,0
0me.com,46,0
0me.com,31,0
0me.com,24,0
0me.com,17,0
0me.com,28,0
0me.com,68,2.4
0me.com,223,2.4
0me.com,9,0
0me.com,46,0
0me.com,31,0
0me.com,24,0
0me.com,17,0
0me.com,28,0
0mecheap,1,0
0mecheap,388,18.22
0mecheap,524,12.2
0mecheap,293,10.99
0mecheap,216,15.9
0mecheap,129,4.2
0mecheap,168,1.98
0mecheap,206,2.61
0mecheap,284,5.05
0mecheap,388,18.22
0mecheap,1,0
0mecheap,2209,71.15
0mecheap,3,0
0mecheap,4,0
0mecheap,524,12.2
0mecheap,293,10.99
0mecheap,1,0
0mecheap,216,15.9
0mecheap,1,0
0mecheap,129,4.2
0mecheap,168,1.98
0mecheap,4,0
0mecheap,206,2.61
0mecheap,4,0
0mecheap,285,5.05
0mecheap,1595,64.88
0mecheap,1230,35.85
0mecheap,1309,30.11
0mecheap,1206,97.12
0mecheap,1236,58.23
0mecheap,1041,71.76
0mecheap,2,0
0meCheap.com Utility CPS - Worldwide,2,69.04
0PLoungewear.com CPS - Worldwide,4,0
0PLoungewear.com CPS - Worldwide,2,0
0PLoungewear.com CPS - Worldwide,1,0
0PLoungewear.com CPS - Worldwide,3,0
99designs WW,65,0
99designs WW,105,0
99designs WW,60,0
99designs WW,35,0
99designs WW,55,0
99designs WW,521,0
99designs WW,349,0
Abebooks Global - CPS,1182,31.998
Abebooks Global - CPS,379,20.2428
Abebooks Global - CPS,446,13.9372
Abebooks Global - CPS,446,13.9372
Abebooks Global - CPS,426,25.076
Abebooks Global - CPS,498,15.7876
Abebooks Global - CPS,3,5.5408
Abebooks Global - CPS,186,6.174
Abebooks Global - CPS,186,6.174
Abebooks Global - CPS,539,23.1328
Abebooks Global - CPS,539,23.1328
Abebooks Global - CPS,441,10.4168
Abebooks Global - CPS,441,10.4168
Abebooks Global - CPS,521,10.808
Abebooks Global - CPS,521,10.808
Abebooks Global - CPS,426,16.1412
Abebooks Global - CPS,426,16.1412
Abebooks Global - CPS,376,11.3064
Abebooks Global - CPS,376,11.3064
Abebooks Global - CPS,61,0.174
Abebooks Global - CPS,61,0.174
Abebooks Global - CPS,177,0.338
Abebooks Global - CPS,177,0.338
Abebooks Global - CPS,186,0.4488
Abebooks Global - CPS,186,0.4488
Abebooks Global - CPS,346,0
Abebooks Global - CPS,346,0
Abebooks Global - CPS,50,0.8256
Abebooks Global - CPS,50,0.8256
Abebooks Global - CPS,272,4.0216
Abebooks Global - CPS,272,4.0216
Abebooks Global - CPS,182,2.8012
Abebooks Global - CPS,182,2.8012
Abebooks Global - CPS,207,1.0128
Abebooks Global - CPS,207,1.0128
Accessorize London [CPS] IN,1,0
Accessorize London [CPS] IN,3,0
Acer [CPS] IN,196,0
Acer [CPS] IN,198,0
Acer [CPS] IN,224,0
Acer [CPS] IN,220,0
Acer [CPS] IN,24,0
Acer [CPS] IN,15,0
Acer [CPS] IN,425,0
Acer [CPS] IN,311,0
Acer [CPS] IN,248,0
Acer [CPS] IN,58,0
Acer [CPS] IN,26,0
Acer [CPS] IN,39,0
Acer [CPS] IN,39,0
Acer [CPS] IN,20,0
ADIDAS,12622,0
ADIDAS,3,0
ADIDAS,1,0
ADIDAS,2847,0
ADIDAS,12622,0
Adidas [CP] IN,2,0
Adidas [CP] IN,153,0
Adidas [CP] IN,5,0
Adidas [CP] IN,6,0
Adidas [CP] IN,15,0
Adidas [CP] IN,8,0
Adidas [CP] IN,6,0
Adidas [CP] IN,3,0
Adidas [CP] IN,1,0
Admitad Lite,7780,0
Adobe Many GEOs,159,0.404810175
Adobe Many GEOs,86,0.405532215
Adobe Many GEOs,217,0.436944915
Adobe Many GEOs,200,0.403981298
Adobe Many GEOs,152,0.366859268
Adobe Many GEOs,12,0.472779368
Adobe Many GEOs,103994,0
Adorama WW,313,0
Adorama WW,120,0
Adorama WW,87,0
Adorama WW,101,0
Adorama WW,180,0
Aimer Affiliate Program,1,0
Air Asia [CPS] IN,227,0
Air Asia [CPS] IN,641,0
Air Asia [CPS] IN,459,0
Air Vistara,52,0
Air Vistara,20,0
Air Vistara,20,0
Air Vistara,3,0
Air Vistara,7,0
Air Vistara,8,0
Air Vistara,52,0
Airalo - The World's First eSIM Store,39,2.6
Airalo - The World's First eSIM Store,16,10
Airalo - The World's First eSIM Store,1,0
Airalo - The World's First eSIM Store,23,0
Airalo - The World's First eSIM Store,2,0
Airalo - The World's First eSIM Store,32,0
Airalo - The World's First eSIM Store,24,0
Airalo - The World's First eSIM Store,1,0
Airalo - The World's First eSIM Store,33,0
Airalo - The World's First eSIM Store,32,0
Airalo - The World's First eSIM Store,54,0.6
Airalo - The World's First eSIM Store,55,5.05
Airalo - The World's First eSIM Store,23,0
Airalo - The World's First eSIM Store,1,0
AirAsia Travel,102,0
AirAsia Travel,1274,25.84725
