Month,Partner,Clicks,Payout
1,Admitad_FS,933237,1137622.7
1,Admitad_XO,139310,269603.2
1,Cuelinks,1481,760.2
1,Imact_Hyzzo,11596,11.95
1,Impact_A_Goyal,7815,193467.81
1,Impact_FS,34379,2581.73
1,Impact_Hyzzo,26564,2556.2599999999998
1,Impact_XO,11596,11.95
1,Impact_ZO,92088,2483.7200000000003
1,Optimize Media,27969,4527.49
1,Partnerize_FS,60,0.69915252
1,Partnerize_Hyzzo,33640,210467.55675000002
1,Pokket_FS,117531,725.2789
1,Pokket_XO,262562,728.1196
1,Vcom_new,42245,0.0
2,Admitad_FS,705170,1058352.84
2,Cuelinks,861,0.0
2,Imapct_ZO,144623,3345.39
2,Impact_A_Goyal,10949,126251.06
2,Impact_FS,38130,60778.009999999995
2,Impact_Hyzzo,42096,5333.51
2,Impact_XO,24146,727.66
2,Impact_ZO,28324,2047.42
2,Partnerize_FS,141,1.139057288
2,Partnerize_Hyzzo,78717,370908.3345
2,Pokket_FS,90246,832.2174
2,Pokket_XO,300132,1170.0718
3,Admitad_FS,705164,531117.54
3,Impact_A_Goyal,2636,90108.9
3,Impact_FS,27330,90931.06999999999
3,Impact_Hyzzo,209231,11168.21
3,Impact_XO,27330,1104.71
3,Impact_ZO,32373,3599.73
3,Partnerize_FS,274,1.383979823
3,Partnerize_Hyzzo,104872,0.0
3,Pokket_FS,64036,883.4729
3,Pokket_XO,168682,1457.9176
4,Admitad_FS,688656,510820.85
4,Admitad_XO,80613,134579.55
4,Impact_A_Goyal,927,2066.7
4,Impact_FS,26268,804.49
4,Impact_Hyzzo,26955,907.57
4,Impact_XO,26268,804.49
4,Impact_ZO,30705,3513.77
4,Partnerize_FS,289,1.984919559
4,Partnerize_Hyzzo,95517,421083.135
4,Pokket_FS,64036,883.4729
4,Pokket_XO,110064,1564.6184
4,Vcom_old,97421,196867.3
5,Admitad_FS,580199,451275.89
5,Admitad_XO,147155,155476.25999999998
5,Impact_A_Goyal,1042,0.0
5,Impact_FS,31362,1611.56
5,Impact_Hyzzo,31970,2336.56
5,Impact_XO,31362,1611.56
5,Impact_ZO,27082,2826.98
5,Optimize Media,27969,4527.49
5,Partnerize_FS,233,0.920804033
5,Partnerize_Hyzzo,115265,321458.8823531
5,Pokket_FS,41037,836.0315
5,Pokket_XO,134220,1316.3436000000002
5,Vcom_old,43647,148329.53
6,Admitad_XO,169201,108069.22
6,Impact_A_Goyal,1044,3972.8
6,Impact_FS,30269,1692.13
6,Impact_Hyzzo,33112,4554.34
6,Impact_XO,30269,1692.13
6,Impact_ZO,24034,2213.23
6,Optimize Media,256022,610692.5599999999
6,Partnerize,234,1.0817001529999999
6,Partnerize_Hyzzo,123987,403165.759425
6,Pokket_FS,43826,835.1709000000001
6,Pokket_XO,136118,1047.6970000000001
6,Vcom_old,36732,120559.45
7,Admitad_FS,415554,305349.56
7,Admitad_XO,89764,47512.74
7,Cuelinks,2006,5613.54
7,Impact_A_Goyal,1768,666.38
7,Impact_FS,14239,696.6
7,Impact_Hyzzo,14331,722.78
7,Impact_ZO,1680,89.48
7,Optimize Media,202544,202530.04
7,Partnerize'2023,34758,239446.845
7,Partnerize_FS,18,1.252552538
7,Pokket_FS,137,146.072
7,Pokket_XO,44926,228.8144
7,Vcom_new,101680,125520.66999999998
8,Admitad_FS,29116,39591.71
8,Admitad_XO,27291,15423.95
8,Cuelinks,920,645.97
8,Imapct_Hyzzo,535,157.15
8,Impact_A_Goyal,1583,5727.67
8,Impact_FS,10483,574.65
8,Impact_Hyzzo,10483,574.65
8,Impact_ZO,1738,30.34
8,Optimize Media,35987,13931.46
8,Partnerize_FS,2,0.53921571
8,Partnerize_Hyzzo,19766,113564.7975
8,Pokket_FS,598,72.25
8,Pokket_XO,36730,128.159
8,Vcom_new,30736,64579.37
9,Admitad_FS,4880,7727.389999999999
9,Admitad_XO,22117,10438.58
9,Cuelinks,842,330.24
9,Impact_A_Goyal,3699,2661.5
9,Impact_FS,8317,507.72999999999996
9,Impact_Hyzzo,8709,538.67
9,Impact_ZO,2071,14.43
9,Optimize Media,35987,13931.46
9,Partnerize_FS,1,0.0
9,Partnerize_Hyzzo,15802,67339.59375
9,Pokket_FS,541,144.5
9,Pokket_XO,30138,218.01420000000002
9,Vcom_new,40503,67914.96
10,Admitad_FS,73431,6736.81
10,Admitad_XO,18522,5426.41
10,Cuelinks,919,26.48
10,Impact_A_Goyal,4031,3012.3
10,Impact_FS,7360,456.88
10,Impact_Hyzzo,7698,484.72999999999996
10,Impact_ZO,1824,154.58
10,Optimize Media,62458,21369.35
10,Partnerize_FS,0,0.0
10,Partnerize_Hyzzo,13511,43000.79025
10,Pokket_FS,547,142.45
10,Pokket_XO,36056,202.7904
10,Vcom_new,17616,33600.42
11,Admitad_FS,13554,68404.38
11,Admitad_XO,15133,12780.07
11,Cuelinks,772,0.0
11,Impact_A_Goyal,3121,13725.13
11,Impact_FS,6492,405.41
11,Impact_Hyzzo,6492,405.41
11,Impact_ZO,3229,76.34
11,Optimize Media,37731,8696.62
11,Partnerize_FS,1,0.816831675
11,Partnerize_Hyzzo,10709,40573.65675
11,Pokket_FS,349,0.0
11,Pokket_XO,55024,103.319
11,Vcom_new,18887,40619.049999999996
12,Admitad_FS,54278,81626.45
12,Admitad_XO,27122,49152.39
12,Cuelinks,899,840.46
12,Impact_A_Goyal,2188,13416.12
12,Impact_FS,9019,593.61
12,Impact_Hyzzo,9981,628.16
12,Impact_ZO,122483,3662.71
12,Optimize Media,17315,3603.78
12,Partnerize_FS,1,0.816831675
12,Partnerize_Hyzzo,11863,74045.30925
12,Pokket_FS,3112,289.0
12,Pokket_XO,105946,355.0838
12,Vcom_new,21627,8284.369999999999
