Campaign_Name,Clicks,Payout
0mecheap,524,12.2
0mecheap,2209,71.15
0mecheap,524,12.2
0mecheap,1595,64.88
0mecheap,1230,35.85
0mecheap,1309,30.11
0mecheap,1206,97.12
0mecheap,1236,58.23
0mecheap,1041,71.76
99designs WW,521,0.0
Abebooks Global - CPS,1182,31.998
Abebooks Global - CPS,539,23.1328
Abebooks Global - CPS,539,23.1328
Abebooks Global - CPS,521,10.808
Abebooks Global - CPS,521,10.808
ADIDAS,12622,0.0
ADIDAS,2847,0.0
ADIDAS,12622,0.0
Admitad Lite,7780,0.0
Adobe Many GEOs,103994,0.0
Air Asia [CPS] IN,641,0.0
AirAsia Travel,1274,25.84725
AirAsia Travel,593,0.0
Ajio,1097,0.0
Ajio,1513,0.0
Ajio,1097,0.0
Alamy WW,2462,95.19
Alamy WW,2138,96.09
Alamy WW,1524,0.0
Alamy WW,1733,0.0
Alamy WW,574,0.0
Alamy WW,529,0.0
Alamy WW,593,91.77
Aliexpress.com CPS - Worldwide,29880,0.0
American Eagle Many GEOs,693,0.0
Ancestry US CA UK AU DE,1305,0.0
Ancestry US CA UK AU DE,1790,0.0
Aqualens [CPS] IN,1545,0.0
AT&T Mobility CPS(Paused),1542,0.0
AT&T Mobility CPS(Paused),640,0.0
AT&T Mobility CPS(Paused),640,0.0
AT&T Mobility CPS(Paused),1125,0.0
AT&T Mobility CPS(Paused),1125,0.0
Atlas VPN,1142,42.91
Atlas VPN,2014,93.01
Atlas VPN,1049,49.48
Atlas VPN,1142,42.91
Atlas VPN,2014,93.01
Atlas VPN,1049,49.48
Atlas VPN,518,72.4
Atlas VPN,1142,42.91
Atlas VPN,2014,93.01
Banggood,1062,0.0
Banggood,3204,0.0
Banggood,1062,0.0
Banggood,1062,0.0
Banggood WW,2070,0.0
Banggood WW,2733,0.0
Banggood WW,3052,0.0
Banggood WW,3198,0.0
Bath and Body Works [CPS] IN,586,0.0
Bath and Body Works [CPS] IN,790,0.0
Benetton.com CPS - India,798,0.0
Benetton.com CPS - India,1463,0.0
Best Buy U.S,1781,0.0
Best Buy U.S,3307,0.0
Best Buy U.S,3195,0.0
Best Buy U.S,3252,0.0
Best Buy U.S,2934,0.0
Best Buy U.S,2597,0.0
BigCommerce Many GEOs,648,0.0
Blibli.com CPS - Indonesia,664,0.0
Boost Mobile - CPA,536,0.0
Boost Mobile - CPA,536,0.0
Calvin Klein HK,1494,0.0
Calvin Klein HK,1096,0.0
Calvin Klein HK,1118,0.0
Calvin Klein HK,1172,0.0
Calvin Klein HK,1029,0.0
Calvin Klein HK,885,0.0
CASETiFY,890,42.02
CASETiFY,876,55.97
CASETiFY,841,33.4
