Month,Partner,Clicks,Payout,Clicks_Diff,Payout_Diff
1,Imact_Hyzzo,11596,11.95,10115.0,-748.25
1,Impact_FS,34379,2581.73,26564.0,-190886.08
1,Pokket_FS,117531,725.2789,83891.0,-209742.27785
2,Impact_FS,38130,60778.009999999995,27181.0,-65473.05
2,Impact_Hyzzo,42096,5333.51,3966.0,-55444.49999999999
2,Pokket_FS,90246,832.2174,11529.0,-370076.1171
3,Impact_Hyzzo,209231,11168.21,181901.0,-79762.85999999999
3,Partnerize_Hyzzo,104872,0.0,104598.0,-1.383979823
4,Impact_FS,26268,804.49,25341.0,-1262.2099999999998
6,Admitad_XO,169201,108069.22,125554.0,-40260.31
6,Impact_FS,30269,1692.13,29225.0,-2280.67
8,Impact_FS,10483,574.65,8900.0,-5153.02
9,Impact_FS,8317,507.72999999999996,4618.0,-2153.77
10,Admitad_FS,73431,6736.81,32928.0,-61178.15000000001
10,Impact_FS,7360,456.88,3329.0,-2555.42
11,Admitad_XO,15133,12780.07,1579.0,-55624.310000000005
11,Impact_FS,6492,405.41,3371.0,-13319.72
12,Impact_FS,9019,593.61,6831.0,-12822.51
