Order_Number,sale_amount
81004313254,1139.78
81004313874,9861
81004314451,9861
81004320429,9861
81004323362,9861
81004330692,9386
81004331377,9578.85
81004337608,9386
81004386616,9861
81004388509,570.73
81004390438,9861
81004476043,9861
81004476342,9861
81004477998,9386
81004481604,7871.7
81004489864,436.93
81004515359,448.59
81004515824,9861
81004516868,833.88
81004517300,9861
81004517948,9861
81004521240,530.95
81004521478,530.95
81004521837,493.47
81004522226,479.91
81004524605,770.35
81004525412,9578.85
81004527368,435.1
81004527996,9386
81004550845,375.05
81004551182,414.58
81004555059,375.05
81004555370,9386
81004555858,9009.79
81004562001,9861
81004562760,9861
81004592567,8536.7
81004593064,9861
81004597717,9386
81004598441,8440.75
81004599383,625.95
81004623467,625.95
81004626358,625.95
81004628667,9861
81004629934,9813.27
Data Not Found,561
Data Not Found,1136
Data Not Found,561
Data Not Found,1136
Data Not Found,936
Data Not Found,516
Data Not Found,4505.001
Data Not Found,5520
Data Not Found,309
Data Not Found,516
Data Not Found,936
Data Not Found,516
Data Not Found,4505.001
Data Not Found,5520
Data Not Found,309
Data Not Found,516
Data Not Found,816
Data Not Found,4940
Data Not Found,956
Data Not Found,1560
Data Not Found,1560
Data Not Found,1950
Data Not Found,688
Data Not Found,718
Data Not Found,4920
Data Not Found,4940
Data Not Found,2425
Data Not Found,3700
Data Not Found,939
Data Not Found,1285
Data Not Found,834
Data Not Found,432.01
Data Not Found,388.17
Data Not Found,442.48
Data Not Found,1749
Data Not Found,442.48
Data Not Found,7965.53
Data Not Found,8380.67
Data Not Found,8437.9
Data Not Found,4562
Data Not Found,4212
Data Not Found,4514
Data Not Found,1406
Data Not Found,3607
Data Not Found,3512
Data Not Found,3512
Data Not Found,3512
Data Not Found,4807
Data Not Found,4807
Data Not Found,4807
Data Not Found,4807
Data Not Found,2462
Data Not Found,2462
Data Not Found,2462
Data Not Found,2462
Data Not Found,4011
Data Not Found,4011
Data Not Found,2462
Data Not Found,2462
Data Not Found,2462
Data Not Found,2462
Data Not Found,574
Data Not Found,646
Data Not Found,4205
Data Not Found,4205
Data Not Found,4205
Data Not Found,2812
Data Not Found,2812
Data Not Found,2812
Data Not Found,3512
Data Not Found,3512
Data Not Found,3512
Data Not Found,3512
Data Not Found,445
Data Not Found,468
